PrimaryObjective,Epsilon1Name,Epsilon1Value,Epsilon2Name,Epsilon2Value,Status,ReconfCost,Violations,LogisticsLeveling,SolveTimeSec,ProductSequenceFirst10
model3,model1,60,model2,100,Success,60,13,22.608187,2.24,"0,1,2,3,0,1,2,0,3,1"
model3,model1,80,model2,inf,Success,67,12,22.51462,1.58,"0,1,3,2,0,1,2,0,3,2"
model3,model1,80,model2,0,Failed: integer infeasible,,,,0.28,
model3,model1,80,model2,20,Success,67,12,22.51462,2.44,"0,1,3,2,0,1,2,0,3,2"
model3,model1,80,model2,40,Success,67,12,22.51462,3.09,"0,1,3,2,0,1,2,0,3,2"
model3,model1,80,model2,60,Success,67,12,22.51462,2.32,"0,1,3,2,0,1,2,0,3,2"
model3,model1,80,model2,80,Success,67,12,22.51462,2.09,"0,1,3,2,0,1,2,0,3,2"
model3,model1,80,model2,100,Success,67,12,22.51462,2.2,"0,1,3,2,0,1,2,0,3,2"
model3,model1,100,model2,inf,Success,67,12,22.51462,1.71,"0,1,3,2,0,1,2,0,3,2"
model3,model1,100,model2,0,Failed: integer infeasible,,,,0.22,
model3,model1,100,model2,20,Success,67,12,22.51462,2.42,"0,1,3,2,0,1,2,0,3,2"
model3,model1,100,model2,40,Success,67,12,22.51462,2.35,"0,1,3,2,0,1,2,0,3,2"
model3,model1,100,model2,60,Success,67,12,22.51462,1.99,"0,1,3,2,0,1,2,0,3,2"
model3,model1,100,model2,80,Success,67,12,22.51462,2,"0,1,3,2,0,1,2,0,3,2"
model3,model1,100,model2,100,Success,67,12,22.51462,2.2,"0,1,3,2,0,1,2,0,3,2"
,,,,,,,,,1.782244898,
,,,,,,,,,261.99,
